iter	Passed	Remaining
262	4732	2465
263	4749	2446
264	4767	2428
265	4785	2410
266	4803	2392
267	4822	2375
268	4840	2357
269	4857	2338
270	4874	2320
271	4893	2302
272	4912	2285
273	4929	2266
274	4946	2248
275	4964	2230
276	4982	2212
277	4998	2193
278	5017	2175
279	5034	2157
280	5051	2139
281	5068	2121
282	5085	2102
283	5103	2084
284	5120	2066
285	5137	2047
286	5154	2029
287	5172	2011
288	5190	1993
289	5207	1975
290	5224	1957
291	5242	1939
292	5260	1920
293	5278	1902
294	5295	1884
295	5312	1866
296	5330	1848
297	5349	1831
298	5367	1812
299	5384	1794
300	5402	1776
301	5419	1758
302	5436	1740
303	5454	1722
304	5472	1704
305	5490	1686
306	5508	1668
307	5524	1650
308	5542	1632
309	5560	1614
310	5577	1596
311	5595	1578
312	5613	1560
313	5631	1542
314	5648	1524
315	5665	1506
316	5681	1487
317	5699	1469
318	5716	1451
319	5732	1433
320	5750	1415
321	5767	1397
322	5783	1378
323	5800	1360
324	5818	1342
325	5836	1324
326	5854	1306
327	5872	1289
328	5890	1271
329	5907	1253
330	5925	1235
331	5942	1217
332	5960	1199
333	5977	1181
334	5993	1163
335	6010	1144
336	6027	1126
337	6044	1108
338	6060	1090
339	6077	1072
340	6095	1054
341	6111	1036
342	6127	1018
343	6143	1000
344	6159	982
345	6177	964
346	6192	945
347	6210	927
348	6226	909
349	6244	892
350	6262	874
351	6278	856
352	6296	838
353	6314	820
354	6341	803
355	6382	788
356	6414	772
357	6438	755
358	6456	737
359	6475	719
360	6492	701
361	6510	683
362	6527	665
363	6543	647
364	6560	629
365	6575	610
366	6592	592
367	6609	574
368	6626	556
369	6644	538
370	6661	520
371	6679	502
372	6695	484
373	6712	466
374	6731	448
375	6747	430
376	6765	412
377	6783	394
378	6800	376
379	6817	358
380	6836	340
381	6855	323
382	6872	305
383	6890	287
384	6906	269
385	6924	251
386	6942	233
387	6958	215
388	6975	197
389	6993	179
390	7008	161
391	7026	143
392	7044	125
393	7062	107
394	7080	89
395	7096	71
396	7113	53
397	7129	35
398	7146	17
399	7164	0
